year,week,loc,state,country,loc_type,number,event
1970,19,NEW YORK CITY,NY,US,STATE,19,CASES
1970,19,UPSTATE NEW YORK,NY,US,STATE,31,CASES
1970,20,NEW YORK CITY,NY,US,STATE,36,CASES
1970,20,UPSTATE NEW YORK,NY,US,STATE,22,CASES
1970,21,NEW YORK CITY,NY,US,STATE,30,CASES
1970,21,UPSTATE NEW YORK,NY,US,STATE,30,CASES
1970,22,NEW YORK CITY,NY,US,STATE,20,CASES
1970,22,UPSTATE NEW YORK,NY,US,STATE,7,CASES
1970,23,NEW YORK CITY,NY,US,STATE,14,CASES
1970,23,UPSTATE NEW YORK,NY,US,STATE,10,CASES
1970,24,NEW YORK CITY,NY,US,STATE,15,CASES
1970,24,UPSTATE NEW YORK,NY,US,STATE,23,CASES
1970,25,NEW YORK CITY,NY,US,STATE,16,CASES
1970,25,UPSTATE NEW YORK,NY,US,STATE,7,CASES
1970,26,NEW YORK CITY,NY,US,STATE,14,CASES
1970,26,UPSTATE NEW YORK,NY,US,STATE,11,CASES
1970,27,NEW YORK CITY,NY,US,STATE,6,CASES
1970,27,UPSTATE NEW YORK,NY,US,STATE,4,CASES
1970,28,NEW YORK CITY,NY,US,STATE,3,CASES
1970,28,UPSTATE NEW YORK,NY,US,STATE,6,CASES
1970,29,NEW YORK CITY,NY,US,STATE,12,CASES
1970,29,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1970,30,NEW YORK CITY,NY,US,STATE,6,CASES
1970,30,UPSTATE NEW YORK,NY,US,STATE,6,CASES
1970,31,NEW YORK CITY,NY,US,STATE,20,CASES
1970,31,UPSTATE NEW YORK,NY,US,STATE,9,CASES
1970,32,NEW YORK CITY,NY,US,STATE,5,CASES
1970,32,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1970,33,NEW YORK CITY,NY,US,STATE,2,CASES
1970,33,UPSTATE NEW YORK,NY,US,STATE,4,CASES
1970,34,NEW YORK CITY,NY,US,STATE,5,CASES
1970,34,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1970,35,NEW YORK CITY,NY,US,STATE,3,CASES
1970,35,UPSTATE NEW YORK,NY,US,STATE,10,CASES
1970,36,NEW YORK CITY,NY,US,STATE,3,CASES
1970,36,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1970,37,NEW YORK CITY,NY,US,STATE,6,CASES
1970,37,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1970,38,NEW YORK CITY,NY,US,STATE,3,CASES
1970,38,UPSTATE NEW YORK,NY,US,STATE,5,CASES
1970,39,NEW YORK CITY,NY,US,STATE,7,CASES
1970,39,UPSTATE NEW YORK,NY,US,STATE,6,CASES
1970,40,NEW YORK CITY,NY,US,STATE,9,CASES
1970,40,UPSTATE NEW YORK,NY,US,STATE,6,CASES
1970,41,NEW YORK CITY,NY,US,STATE,11,CASES
1970,41,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1970,42,NEW YORK CITY,NY,US,STATE,11,CASES
1970,42,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1970,43,NEW YORK CITY,NY,US,STATE,8,CASES
1970,43,UPSTATE NEW YORK,NY,US,STATE,7,CASES
1970,45,NEW YORK CITY,NY,US,STATE,8,CASES
1970,46,NEW YORK CITY,NY,US,STATE,7,CASES
1970,46,UPSTATE NEW YORK,NY,US,STATE,4,CASES
1970,47,NEW YORK CITY,NY,US,STATE,4,CASES
1970,48,NEW YORK CITY,NY,US,STATE,8,CASES
1970,48,UPSTATE NEW YORK,NY,US,STATE,4,CASES
1970,49,NEW YORK CITY,NY,US,STATE,5,CASES
1970,49,UPSTATE NEW YORK,NY,US,STATE,6,CASES
1970,50,NEW YORK CITY,NY,US,STATE,5,CASES
1970,50,UPSTATE NEW YORK,NY,US,STATE,4,CASES
1970,51,NEW YORK CITY,NY,US,STATE,2,CASES
1970,51,UPSTATE NEW YORK,NY,US,STATE,6,CASES
1970,52,NEW YORK CITY,NY,US,STATE,7,CASES
1971,1,NEW YORK CITY,NY,US,STATE,13,CASES
1971,1,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1971,2,NEW YORK CITY,NY,US,STATE,7,CASES
1971,2,UPSTATE NEW YORK,NY,US,STATE,8,CASES
1971,3,NEW YORK CITY,NY,US,STATE,5,CASES
1971,3,UPSTATE NEW YORK,NY,US,STATE,6,CASES
1971,4,NEW YORK CITY,NY,US,STATE,7,CASES
1971,4,UPSTATE NEW YORK,NY,US,STATE,6,CASES
1971,5,NEW YORK CITY,NY,US,STATE,9,CASES
1971,5,UPSTATE NEW YORK,NY,US,STATE,8,CASES
1971,6,NEW YORK CITY,NY,US,STATE,12,CASES
1971,6,UPSTATE NEW YORK,NY,US,STATE,6,CASES
1971,7,UPSTATE NEW YORK,NY,US,STATE,22,CASES
1971,8,NEW YORK CITY,NY,US,STATE,9,CASES
1971,8,UPSTATE NEW YORK,NY,US,STATE,9,CASES
1971,9,NEW YORK CITY,NY,US,STATE,10,CASES
1971,9,UPSTATE NEW YORK,NY,US,STATE,28,CASES
1971,10,NEW YORK CITY,NY,US,STATE,12,CASES
1971,10,UPSTATE NEW YORK,NY,US,STATE,12,CASES
1971,11,NEW YORK CITY,NY,US,STATE,22,CASES
1971,11,UPSTATE NEW YORK,NY,US,STATE,75,CASES
1971,12,NEW YORK CITY,NY,US,STATE,16,CASES
1971,12,UPSTATE NEW YORK,NY,US,STATE,29,CASES
1971,13,NEW YORK CITY,NY,US,STATE,18,CASES
1971,13,UPSTATE NEW YORK,NY,US,STATE,12,CASES
1971,14,NEW YORK CITY,NY,US,STATE,25,CASES
1971,14,UPSTATE NEW YORK,NY,US,STATE,13,CASES
1971,15,NEW YORK CITY,NY,US,STATE,25,CASES
1971,15,UPSTATE NEW YORK,NY,US,STATE,5,CASES
1971,16,NEW YORK CITY,NY,US,STATE,33,CASES
1971,16,UPSTATE NEW YORK,NY,US,STATE,22,CASES
1971,17,NEW YORK CITY,NY,US,STATE,34,CASES
1971,17,UPSTATE NEW YORK,NY,US,STATE,17,CASES
1971,18,NEW YORK CITY,NY,US,STATE,35,CASES
1971,18,UPSTATE NEW YORK,NY,US,STATE,11,CASES
1971,19,NEW YORK CITY,NY,US,STATE,26,CASES
1971,19,UPSTATE NEW YORK,NY,US,STATE,19,CASES
1971,20,NEW YORK CITY,NY,US,STATE,30,CASES
1971,20,UPSTATE NEW YORK,NY,US,STATE,14,CASES
1971,21,NEW YORK CITY,NY,US,STATE,13,CASES
1971,21,UPSTATE NEW YORK,NY,US,STATE,15,CASES
1971,22,NEW YORK CITY,NY,US,STATE,21,CASES
1971,22,UPSTATE NEW YORK,NY,US,STATE,8,CASES
1971,23,NEW YORK CITY,NY,US,STATE,24,CASES
1971,23,UPSTATE NEW YORK,NY,US,STATE,7,CASES
1971,24,NEW YORK CITY,NY,US,STATE,5,CASES
1971,24,UPSTATE NEW YORK,NY,US,STATE,9,CASES
1971,25,NEW YORK CITY,NY,US,STATE,15,CASES
1971,25,UPSTATE NEW YORK,NY,US,STATE,5,CASES
1971,26,NEW YORK CITY,NY,US,STATE,9,CASES
1971,26,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1971,27,NEW YORK CITY,NY,US,STATE,8,CASES
1971,27,UPSTATE NEW YORK,NY,US,STATE,8,CASES
1971,28,NEW YORK CITY,NY,US,STATE,11,CASES
1971,28,UPSTATE NEW YORK,NY,US,STATE,7,CASES
1971,29,NEW YORK CITY,NY,US,STATE,7,CASES
1971,29,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1971,30,NEW YORK CITY,NY,US,STATE,15,CASES
1971,31,NEW YORK CITY,NY,US,STATE,12,CASES
1971,32,NEW YORK CITY,NY,US,STATE,14,CASES
1971,32,UPSTATE NEW YORK,NY,US,STATE,4,CASES
1971,33,NEW YORK CITY,NY,US,STATE,12,CASES
1971,33,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1971,34,NEW YORK CITY,NY,US,STATE,8,CASES
1971,34,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1971,35,NEW YORK CITY,NY,US,STATE,13,CASES
1971,35,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1971,36,NEW YORK CITY,NY,US,STATE,4,CASES
1971,36,UPSTATE NEW YORK,NY,US,STATE,7,CASES
1971,37,NEW YORK CITY,NY,US,STATE,9,CASES
1971,37,UPSTATE NEW YORK,NY,US,STATE,4,CASES
1971,38,NEW YORK CITY,NY,US,STATE,4,CASES
1971,38,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1971,39,NEW YORK CITY,NY,US,STATE,5,CASES
1971,39,UPSTATE NEW YORK,NY,US,STATE,5,CASES
1971,40,NEW YORK CITY,NY,US,STATE,7,CASES
1971,40,UPSTATE NEW YORK,NY,US,STATE,6,CASES
1971,41,NEW YORK CITY,NY,US,STATE,5,CASES
1971,41,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1971,42,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1971,43,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1971,44,NEW YORK CITY,NY,US,STATE,3,CASES
1971,44,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1971,45,NEW YORK CITY,NY,US,STATE,8,CASES
1971,45,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1971,46,NEW YORK CITY,NY,US,STATE,7,CASES
1971,47,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1971,48,NEW YORK CITY,NY,US,STATE,2,CASES
1971,49,NEW YORK CITY,NY,US,STATE,11,CASES
1971,49,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1971,50,NEW YORK CITY,NY,US,STATE,9,CASES
1971,50,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1971,51,NEW YORK CITY,NY,US,STATE,1,CASES
1971,51,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1972,1,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1972,3,NEW YORK CITY,NY,US,STATE,8,CASES
1972,4,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1972,4,NEW YORK CITY,NY,US,STATE,5,CASES
1972,5,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1972,5,NEW YORK CITY,NY,US,STATE,4,CASES
1972,6,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1972,6,NEW YORK CITY,NY,US,STATE,6,CASES
1972,7,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1972,7,NEW YORK CITY,NY,US,STATE,8,CASES
1972,8,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1972,8,NEW YORK CITY,NY,US,STATE,7,CASES
1972,9,UPSTATE NEW YORK,NY,US,STATE,11,CASES
1972,9,NEW YORK CITY,NY,US,STATE,5,CASES
1972,10,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1972,10,NEW YORK CITY,NY,US,STATE,8,CASES
1972,11,UPSTATE NEW YORK,NY,US,STATE,7,CASES
1972,11,NEW YORK CITY,NY,US,STATE,6,CASES
1972,12,UPSTATE NEW YORK,NY,US,STATE,15,CASES
1972,12,NEW YORK CITY,NY,US,STATE,4,CASES
1972,13,UPSTATE NEW YORK,NY,US,STATE,4,CASES
1972,13,NEW YORK CITY,NY,US,STATE,6,CASES
1972,15,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1972,15,NEW YORK CITY,NY,US,STATE,8,CASES
1972,16,UPSTATE NEW YORK,NY,US,STATE,13,CASES
1972,16,NEW YORK CITY,NY,US,STATE,15,CASES
1972,17,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1972,17,NEW YORK CITY,NY,US,STATE,11,CASES
1972,18,UPSTATE NEW YORK,NY,US,STATE,5,CASES
1972,18,NEW YORK CITY,NY,US,STATE,11,CASES
1972,19,UPSTATE NEW YORK,NY,US,STATE,7,CASES
1972,19,NEW YORK CITY,NY,US,STATE,3,CASES
1972,20,UPSTATE NEW YORK,NY,US,STATE,15,CASES
1972,20,NEW YORK CITY,NY,US,STATE,7,CASES
1972,21,UPSTATE NEW YORK,NY,US,STATE,7,CASES
1972,21,NEW YORK CITY,NY,US,STATE,5,CASES
1972,22,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1972,22,NEW YORK CITY,NY,US,STATE,3,CASES
1972,23,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1972,23,NEW YORK CITY,NY,US,STATE,12,CASES
1972,24,UPSTATE NEW YORK,NY,US,STATE,9,CASES
1972,24,NEW YORK CITY,NY,US,STATE,4,CASES
1972,25,UPSTATE NEW YORK,NY,US,STATE,20,CASES
1972,25,NEW YORK CITY,NY,US,STATE,8,CASES
1972,26,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1972,26,NEW YORK CITY,NY,US,STATE,5,CASES
1972,27,UPSTATE NEW YORK,NY,US,STATE,6,CASES
1972,27,NEW YORK CITY,NY,US,STATE,2,CASES
1972,28,UPSTATE NEW YORK,NY,US,STATE,4,CASES
1972,28,NEW YORK CITY,NY,US,STATE,4,CASES
1972,29,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1972,29,NEW YORK CITY,NY,US,STATE,5,CASES
1972,30,NEW YORK CITY,NY,US,STATE,9,CASES
1972,31,NEW YORK CITY,NY,US,STATE,8,CASES
1972,32,UPSTATE NEW YORK,NY,US,STATE,6,CASES
1972,32,NEW YORK CITY,NY,US,STATE,3,CASES
1972,33,NEW YORK CITY,NY,US,STATE,1,CASES
1972,35,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1972,35,NEW YORK CITY,NY,US,STATE,4,CASES
1972,36,NEW YORK CITY,NY,US,STATE,6,CASES
1972,37,NEW YORK CITY,NY,US,STATE,7,CASES
1972,38,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1972,38,NEW YORK CITY,NY,US,STATE,1,CASES
1972,39,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1972,39,NEW YORK CITY,NY,US,STATE,3,CASES
1972,40,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1972,40,NEW YORK CITY,NY,US,STATE,3,CASES
1972,41,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1972,41,NEW YORK CITY,NY,US,STATE,2,CASES
1972,43,NEW YORK CITY,NY,US,STATE,4,CASES
1972,44,NEW YORK CITY,NY,US,STATE,5,CASES
1972,45,NEW YORK CITY,NY,US,STATE,1,CASES
1972,46,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1972,46,NEW YORK CITY,NY,US,STATE,2,CASES
1972,47,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1972,47,NEW YORK CITY,NY,US,STATE,2,CASES
1972,48,NEW YORK CITY,NY,US,STATE,7,CASES
1972,49,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1972,49,NEW YORK CITY,NY,US,STATE,3,CASES
1972,50,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1972,50,NEW YORK CITY,NY,US,STATE,3,CASES
1972,51,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1972,51,NEW YORK CITY,NY,US,STATE,3,CASES
1973,1,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1973,1,NEW YORK CITY,NY,US,STATE,5,CASES
1973,2,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1973,2,NEW YORK CITY,NY,US,STATE,3,CASES
1973,3,UPSTATE NEW YORK,NY,US,STATE,5,CASES
1973,3,NEW YORK CITY,NY,US,STATE,2,CASES
1973,4,UPSTATE NEW YORK,NY,US,STATE,13,CASES
1973,4,NEW YORK CITY,NY,US,STATE,1,CASES
1973,5,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1973,5,NEW YORK CITY,NY,US,STATE,8,CASES
1973,6,UPSTATE NEW YORK,NY,US,STATE,7,CASES
1973,6,NEW YORK CITY,NY,US,STATE,5,CASES
1973,7,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1973,7,NEW YORK CITY,NY,US,STATE,3,CASES
1973,8,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1973,8,NEW YORK CITY,NY,US,STATE,8,CASES
1973,9,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1973,9,NEW YORK CITY,NY,US,STATE,13,CASES
1973,10,UPSTATE NEW YORK,NY,US,STATE,4,CASES
1973,10,NEW YORK CITY,NY,US,STATE,13,CASES
1973,11,UPSTATE NEW YORK,NY,US,STATE,5,CASES
1973,11,NEW YORK CITY,NY,US,STATE,13,CASES
1973,12,UPSTATE NEW YORK,NY,US,STATE,5,CASES
1973,12,NEW YORK CITY,NY,US,STATE,15,CASES
1973,13,UPSTATE NEW YORK,NY,US,STATE,66,CASES
1973,13,NEW YORK CITY,NY,US,STATE,21,CASES
1973,14,UPSTATE NEW YORK,NY,US,STATE,8,CASES
1973,14,NEW YORK CITY,NY,US,STATE,16,CASES
1973,15,UPSTATE NEW YORK,NY,US,STATE,19,CASES
1973,15,NEW YORK CITY,NY,US,STATE,28,CASES
1973,16,UPSTATE NEW YORK,NY,US,STATE,10,CASES
1973,16,NEW YORK CITY,NY,US,STATE,30,CASES
1973,17,UPSTATE NEW YORK,NY,US,STATE,20,CASES
1973,17,NEW YORK CITY,NY,US,STATE,18,CASES
1973,18,UPSTATE NEW YORK,NY,US,STATE,41,CASES
1973,18,NEW YORK CITY,NY,US,STATE,37,CASES
1973,19,UPSTATE NEW YORK,NY,US,STATE,13,CASES
1973,19,NEW YORK CITY,NY,US,STATE,44,CASES
1973,20,UPSTATE NEW YORK,NY,US,STATE,40,CASES
1973,20,NEW YORK CITY,NY,US,STATE,17,CASES
1973,21,UPSTATE NEW YORK,NY,US,STATE,8,CASES
1973,21,NEW YORK CITY,NY,US,STATE,16,CASES
1973,22,UPSTATE NEW YORK,NY,US,STATE,28,CASES
1973,22,NEW YORK CITY,NY,US,STATE,17,CASES
1973,23,UPSTATE NEW YORK,NY,US,STATE,31,CASES
1973,23,NEW YORK CITY,NY,US,STATE,28,CASES
1973,24,UPSTATE NEW YORK,NY,US,STATE,17,CASES
1973,24,NEW YORK CITY,NY,US,STATE,21,CASES
1973,25,UPSTATE NEW YORK,NY,US,STATE,7,CASES
1973,25,NEW YORK CITY,NY,US,STATE,10,CASES
1973,26,UPSTATE NEW YORK,NY,US,STATE,4,CASES
1973,26,NEW YORK CITY,NY,US,STATE,30,CASES
1973,27,UPSTATE NEW YORK,NY,US,STATE,4,CASES
1973,27,NEW YORK CITY,NY,US,STATE,12,CASES
1973,28,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1973,28,NEW YORK CITY,NY,US,STATE,1,CASES
1973,29,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1973,29,NEW YORK CITY,NY,US,STATE,3,CASES
1973,30,UPSTATE NEW YORK,NY,US,STATE,11,CASES
1973,30,NEW YORK CITY,NY,US,STATE,3,CASES
1973,31,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1973,31,NEW YORK CITY,NY,US,STATE,4,CASES
1973,32,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1973,32,NEW YORK CITY,NY,US,STATE,4,CASES
1973,33,UPSTATE NEW YORK,NY,US,STATE,5,CASES
1973,33,NEW YORK CITY,NY,US,STATE,5,CASES
1973,34,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1973,34,NEW YORK CITY,NY,US,STATE,4,CASES
1973,35,NEW YORK CITY,NY,US,STATE,4,CASES
1973,36,UPSTATE NEW YORK,NY,US,STATE,4,CASES
1973,36,NEW YORK CITY,NY,US,STATE,3,CASES
1973,37,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1973,37,NEW YORK CITY,NY,US,STATE,5,CASES
1973,39,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1973,39,NEW YORK CITY,NY,US,STATE,1,CASES
1973,40,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1973,40,NEW YORK CITY,NY,US,STATE,1,CASES
1973,41,UPSTATE NEW YORK,NY,US,STATE,6,CASES
1973,41,NEW YORK CITY,NY,US,STATE,2,CASES
1973,43,NEW YORK CITY,NY,US,STATE,2,CASES
1973,44,UPSTATE NEW YORK,NY,US,STATE,5,CASES
1973,45,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1973,45,NEW YORK CITY,NY,US,STATE,2,CASES
1973,46,UPSTATE NEW YORK,NY,US,STATE,23,CASES
1973,46,NEW YORK CITY,NY,US,STATE,2,CASES
1973,47,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1973,47,NEW YORK CITY,NY,US,STATE,3,CASES
1973,48,UPSTATE NEW YORK,NY,US,STATE,9,CASES
1973,48,NEW YORK CITY,NY,US,STATE,6,CASES
1973,49,NEW YORK CITY,NY,US,STATE,4,CASES
1973,50,UPSTATE NEW YORK,NY,US,STATE,5,CASES
1973,51,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1973,51,NEW YORK CITY,NY,US,STATE,4,CASES
1973,52,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1974,1,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1974,1,NEW YORK CITY,NY,US,STATE,4,CASES
1974,2,UPSTATE NEW YORK,NY,US,STATE,9,CASES
1974,2,NEW YORK CITY,NY,US,STATE,5,CASES
1974,3,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1974,3,NEW YORK CITY,NY,US,STATE,3,CASES
1974,4,NEW YORK CITY,NY,US,STATE,3,CASES
1974,5,UPSTATE NEW YORK,NY,US,STATE,5,CASES
1974,5,NEW YORK CITY,NY,US,STATE,2,CASES
1974,6,UPSTATE NEW YORK,NY,US,STATE,7,CASES
1974,6,NEW YORK CITY,NY,US,STATE,6,CASES
1974,7,UPSTATE NEW YORK,NY,US,STATE,7,CASES
1974,7,NEW YORK CITY,NY,US,STATE,3,CASES
1974,8,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1974,8,NEW YORK CITY,NY,US,STATE,2,CASES
1974,9,UPSTATE NEW YORK,NY,US,STATE,12,CASES
1974,9,NEW YORK CITY,NY,US,STATE,1,CASES
1974,10,UPSTATE NEW YORK,NY,US,STATE,6,CASES
1974,10,NEW YORK CITY,NY,US,STATE,2,CASES
1974,11,UPSTATE NEW YORK,NY,US,STATE,18,CASES
1974,11,NEW YORK CITY,NY,US,STATE,2,CASES
1974,12,UPSTATE NEW YORK,NY,US,STATE,8,CASES
1974,12,NEW YORK CITY,NY,US,STATE,7,CASES
1974,13,UPSTATE NEW YORK,NY,US,STATE,5,CASES
1974,13,NEW YORK CITY,NY,US,STATE,5,CASES
1974,14,UPSTATE NEW YORK,NY,US,STATE,11,CASES
1974,14,NEW YORK CITY,NY,US,STATE,5,CASES
1974,15,UPSTATE NEW YORK,NY,US,STATE,8,CASES
1974,15,NEW YORK CITY,NY,US,STATE,7,CASES
1974,16,UPSTATE NEW YORK,NY,US,STATE,17,CASES
1974,16,NEW YORK CITY,NY,US,STATE,6,CASES
1974,17,UPSTATE NEW YORK,NY,US,STATE,6,CASES
1974,17,NEW YORK CITY,NY,US,STATE,5,CASES
1974,18,UPSTATE NEW YORK,NY,US,STATE,12,CASES
1974,18,NEW YORK CITY,NY,US,STATE,4,CASES
1974,19,UPSTATE NEW YORK,NY,US,STATE,18,CASES
1974,19,NEW YORK CITY,NY,US,STATE,5,CASES
1974,20,UPSTATE NEW YORK,NY,US,STATE,9,CASES
1974,20,NEW YORK CITY,NY,US,STATE,4,CASES
1974,21,UPSTATE NEW YORK,NY,US,STATE,9,CASES
1974,21,NEW YORK CITY,NY,US,STATE,4,CASES
1974,22,UPSTATE NEW YORK,NY,US,STATE,6,CASES
1974,22,NEW YORK CITY,NY,US,STATE,3,CASES
1974,24,UPSTATE NEW YORK,NY,US,STATE,9,CASES
1974,24,NEW YORK CITY,NY,US,STATE,6,CASES
1974,25,NEW YORK CITY,NY,US,STATE,4,CASES
1974,26,UPSTATE NEW YORK,NY,US,STATE,8,CASES
1974,26,NEW YORK CITY,NY,US,STATE,3,CASES
1974,27,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1974,27,NEW YORK CITY,NY,US,STATE,1,CASES
1974,28,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1974,28,NEW YORK CITY,NY,US,STATE,7,CASES
1974,29,UPSTATE NEW YORK,NY,US,STATE,5,CASES
1974,29,NEW YORK CITY,NY,US,STATE,5,CASES
1974,30,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1974,30,NEW YORK CITY,NY,US,STATE,2,CASES
1974,31,UPSTATE NEW YORK,NY,US,STATE,4,CASES
1974,31,NEW YORK CITY,NY,US,STATE,7,CASES
1974,32,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1974,32,NEW YORK CITY,NY,US,STATE,5,CASES
1974,33,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1974,33,NEW YORK CITY,NY,US,STATE,5,CASES
1974,34,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1974,34,NEW YORK CITY,NY,US,STATE,1,CASES
1974,35,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1974,35,NEW YORK CITY,NY,US,STATE,2,CASES
1974,36,NEW YORK CITY,NY,US,STATE,4,CASES
1974,37,UPSTATE NEW YORK,NY,US,STATE,7,CASES
1974,37,NEW YORK CITY,NY,US,STATE,2,CASES
1974,39,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1974,40,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1974,40,NEW YORK CITY,NY,US,STATE,3,CASES
1974,41,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1974,41,NEW YORK CITY,NY,US,STATE,3,CASES
1974,42,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1974,42,NEW YORK CITY,NY,US,STATE,3,CASES
1974,43,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1974,43,NEW YORK CITY,NY,US,STATE,1,CASES
1974,44,UPSTATE NEW YORK,NY,US,STATE,5,CASES
1974,45,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1974,46,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1974,47,UPSTATE NEW YORK,NY,US,STATE,5,CASES
1974,47,NEW YORK CITY,NY,US,STATE,7,CASES
1974,48,NEW YORK CITY,NY,US,STATE,1,CASES
1974,49,NEW YORK CITY,NY,US,STATE,3,CASES
1974,50,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1974,50,NEW YORK CITY,NY,US,STATE,1,CASES
1974,51,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1974,51,NEW YORK CITY,NY,US,STATE,1,CASES
1974,52,NEW YORK CITY,NY,US,STATE,2,CASES
1975,1,NEW YORK CITY,NY,US,STATE,1,CASES
1975,2,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1975,3,UPSTATE NEW YORK,NY,US,STATE,4,CASES
1975,3,NEW YORK CITY,NY,US,STATE,1,CASES
1975,4,NEW YORK CITY,NY,US,STATE,4,CASES
1975,5,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1975,5,NEW YORK CITY,NY,US,STATE,5,CASES
1975,6,NEW YORK CITY,NY,US,STATE,7,CASES
1975,7,UPSTATE NEW YORK,NY,US,STATE,5,CASES
1975,7,NEW YORK CITY,NY,US,STATE,5,CASES
1975,8,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1975,8,NEW YORK CITY,NY,US,STATE,1,CASES
1975,9,UPSTATE NEW YORK,NY,US,STATE,7,CASES
1975,9,NEW YORK CITY,NY,US,STATE,7,CASES
1975,10,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1975,10,NEW YORK CITY,NY,US,STATE,7,CASES
1975,11,UPSTATE NEW YORK,NY,US,STATE,2,CASES
1975,11,NEW YORK CITY,NY,US,STATE,9,CASES
1975,12,UPSTATE NEW YORK,NY,US,STATE,7,CASES
1975,12,NEW YORK CITY,NY,US,STATE,1,CASES
